,province,population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,ACEH,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124,Banda Aceh,5.5528455,95.3192908
1,BALI,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
2,BANTEN,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
3,BENGKULU,1.971.800,19.919,-2.2771362,-5.7189866,103.7810669,100.330919,Bengkulu,-3.5186763,102.5359834
4,DAERAH_ISTIMEWA_YOGYAKARTA,3.868.600,3.133,-7.5412887,-8.4159039,110.8386897,109.901789,Yogyakarta,-7.8011945,110.364917
5,DKI_JAKARTA,10.504.100,664.0,-4.9993635,-6.3744575,106.973975,106.3146732,Jakarta,-6.1753942,106.827183
6,GORONTALO,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
7,JAMBI,3.566.200,50.058,-0.5088816,-2.7822599,105.0122093,101.1225586,Jambi,-1.611572,102.779699
8,JAWA_BARAT,49.023.200,35.378,-4.0387936,-8.0207481,109.0697907,106.0509508,Bandung,-6.9344694,107.6049539
9,JAWA_TENGAH,34.552.500,32.801,-4.0387936,-8.4411879,111.8689695,108.5558548,Semarang,-6.9903988,110.4229104
10,JAWA_TIMUR,39.744.800,47.8,-4.8926893,-9.0301357,116.4841801,110.8815987,Surabaya,-7.2459717,112.7378266
11,KALIMANTAN_BARAT,5.045.700,147.307,2.3146446,-4.7153056,114.2054274,108.1386521,Pontianak,-0.0226903,109.3447488
12,KALIMANTAN_SELATAN,4.216.300,38.744,-1.3024076,-5.4798229,117.900953,113.9911308,Banjarmasin,-3.3187496,114.5925828
13,KALIMANTAN_TENGAH,2.649.800,153.565,0.7954077,-5.1882715,115.8488006,110.6795452,Palangka Raya,-2.2072919,113.9164372
14,KALIMANTAN_TIMUR,3.619.700,129.067,2.569023,-2.6537156,119.6680859,113.8359298,Samarinda,-0.5017804,117.1393089
15,KALIMANTAN_UTARA,695.600,75.468,4.407823,1.1140414,118.7650776,114.565164,Tanjung Selor,2.8469993,117.3645691
16,KEPULAUAN_BANGKA_BELITUNG,1.451.100,16.424,-0.278773,-4.9993635,109.6139863,104.9996082,Pangkal Pinang,-2.1206733,106.1134604
17,KEPULAUAN_RIAU,2.241.600,8.202,4.9918231,-1.1825041,109.7126785,103.065,Tanjung Pinang,0.9236915,104.446094
18,LAMPUNG,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
19,MALUKU,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
20,MALUKU_UTARA,1.235.700,31.983,3.4464276,-2.7956171,129.7578409,123.9232297,Sofifi,0.734776,127.5760518
21,NUSA_TENGGARA_BARAT,5.152.400,18.572,-6.7458825,-9.3098441,119.5015499,115.5700063,Mataram,-8.5837726,116.10685
22,NUSA_TENGGARA_TIMUR,5.437.200,48.718,-6.7574264,-11.2085669,125.5500847,118.3710228,Kupang,-10.1632209,123.6017755
23,PAPUA,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
24,PAPUA_BARAT,963.600,97.024,1.2874153,-4.8517205,135.2580601,128.4449325,Manokwari,-0.8614456,134.0767324
25,RIAU,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
26,SULAWESI_BARAT,1.359.200,16.787,-0.22745,-3.9747153,119.8757314,117.630978,Mamuju,-2.7015755,118.92039
27,SULAWESI_SELATAN,8.819.500,46.717,-1.8906412,-7.9722136,122.3438413,116.343821,Makassar,-5.1342962,119.4124282
28,SULAWESI_TENGAH,3.042.100,61.841,1.583554,-3.3853339,124.9619235,118.8772126,Palu,-0.8957793,119.8679974
29,SULAWESI_TENGGARA,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
30,SULAWESI_UTARA,2.512.900,13.852,5.7639518,-0.5534119,127.805486,123.1123245,Manado,1.4900578,124.8408708
31,SUMATERA_BARAT,5.479.500,42.013,0.9073892,-3.584461,101.8861236,98.2364008,Padang,-0.9247587,100.3632561
32,SUMATERA_SELATAN,8.497.200,91.592,-1.5138437,-4.9241592,106.6026347,102.0414013,Palembang,-2.9888297,104.756857
33,SUMATERA_UTARA,14.639.400,72.981,4.4392389,-1.0336376,100.6603006,96.7203878,Medan,3.5896654,98.6738261
